Epoch,Train_Loss,Dev_Accuracy
1,0.612,0.7794
2,0.5033,0.7059
3,0.4192,0.7206
4,0.3481,0.8382
5,0.262,0.7353
6,0.1667,0.7794
7,0.1084,0.8529
8,0.0769,0.7941
9,0.0987,0.8235
10,0.0607,0.8235
11,0.0502,0.8676
12,0.0142,0.8382
13,0.0152,0.8235
14,0.0336,0.8676
15,0.0378,0.8824
16,0.0225,0.8382
17,0.0692,0.8971
18,0.0193,0.8235
19,0.0099,0.8529
20,0.016,0.8971
21,0.0423,0.8676
22,0.0303,0.8529
23,0.0355,0.8235
24,0.0262,0.8235
25,0.0377,0.8235
26,0.0188,0.8529
27,0.0138,0.8235
28,0.0133,0.8235
29,0.0042,0.8088
30,0.0033,0.8088
