id,dropout,hidden,fgm,lr,batch_size,Best_Dev_Acc
High FGM (0.2),0.5,128,0.2,0.001,16,0.8676470588235294
Low DO (0.3),0.3,128,0.1,0.001,16,0.8676470588235294
Batch 32,0.5,128,0.1,0.001,32,0.8676470588235294
Small Hid (64),0.5,64,0.1,0.001,16,0.8529411764705882
Low FGM (0.05),0.5,128,0.05,0.001,16,0.8382352941176471
Base (B4),0.5,128,0.1,0.001,4,0.8235294117647058
Base (B16),0.5,128,0.1,0.001,16,0.8235294117647058
Low LR (5e-4),0.5,128,0.1,0.0005,16,0.7941176470588235
High DO (0.6),0.6,128,0.1,0.001,16,0.7794117647058824
Base (B8),0.5,128,0.1,0.001,8,0.75
Large Hid (256),0.5,256,0.1,0.001,16,0.7352941176470589
